NAMELSAD,std_dev_all,std_dev_2,std_dev_3,std_dev_4,std_dev_5,std_dev_6,std_dev_7,std_dev_8,std_dev_9,std_dev_10,std_dev_11,std_dev_12,std_dev_13,std_dev_14,std_dev_15,avg_std_dev_2_to_4
"Houston-The Woodlands-Sugar Land, TX Metro Area",1.0314,0.2317,0.3466,0.4882,0.611,0.6987,0.765,0.8169,0.8575,0.8894,0.9149,0.9354,0.9522,0.966,0.9774,0.3479
"Huntington-Ashland, WV-KY-OH Metro Area",0.4984,0.4984,,,,,,,,,,,,,,
"Huntsville, AL Metro Area",0.1297,0.1297,,,,,,,,,,,,,,
"Idaho Falls, ID Metro Area",,,,,,,,,,,,,,,,
"Indianapolis-Carmel-Anderson, IN Metro Area",0.864,1.2388,0.9849,0.7572,0.7257,0.7141,0.7259,0.7466,0.7688,0.7896,0.8088,0.8255,0.8404,0.8532,0.864,1.0084
"Iowa City, IA Metro Area",0.4024,0.2822,0.4024,,,,,,,,,,,,,
"Ithaca, NY Metro Area",0.4366,0.4366,,,,,,,,,,,,,,
"Jackson, MI Metro Area",,,,,,,,,,,,,,,,
"Jackson, MS Metro Area",0.2238,0.0944,0.2238,,,,,,,,,,,,,
"Jackson, TN Metro Area",,,,,,,,,,,,,,,,
"Jacksonville, FL Metro Area",0.8706,1.1169,1.0139,0.9691,0.95,0.9076,0.8894,0.8761,0.8706,,,,,,,1.0382
"Jacksonville, NC Metro Area",0.7022,0.6048,0.5696,0.6582,0.7022,,,,,,,,,,,0.61
"Janesville-Beloit, WI Metro Area",1.2273,1.2273,,,,,,,,,,,,,,
"Jefferson City, MO Metro Area",0.5424,0.5424,,,,,,,,,,,,,,
"Johnson City, TN Metro Area",0.1551,0.1551,,,,,,,,,,,,,,
"Johnstown, PA Metro Area",0.6932,0.6282,0.6188,0.6932,,,,,,,,,,,,0.6453
"Jonesboro, AR Metro Area",,,,,,,,,,,,,,,,
"Joplin, MO Metro Area",0.1888,0.1888,,,,,,,,,,,,,,
"Kalamazoo-Portage, MI Metro Area",0.0551,0.0551,,,,,,,,,,,,,,
"Kankakee, IL Metro Area",,,,,,,,,,,,,,,,
"Kansas City, MO-KS Metro Area",0.8123,0.434,0.4909,0.5528,0.6352,0.7065,0.7656,0.8123,,,,,,,,0.489
"Kennewick-Richland, WA Metro Area",0.8893,0.8893,,,,,,,,,,,,,,
"Killeen-Temple, TX Metro Area",0.1152,0.1152,,,,,,,,,,,,,,
"Kingsport-Bristol, TN-VA Metro Area",0.5593,1.1716,0.5948,0.5593,,,,,,,,,,,,0.7972
"Kingston, NY Metro Area",,,,,,,,,,,,,,,,
"Knoxville, TN Metro Area",0.3801,0.0733,0.2002,0.3801,,,,,,,,,,,,0.2089
"Kokomo, IN Metro Area",,,,,,,,,,,,,,,,
"La Crosse-Onalaska, WI-MN Metro Area",,,,,,,,,,,,,,,,
"Lafayette, LA Metro Area",0.4839,0.5063,0.4839,,,,,,,,,,,,,
"Lafayette-West Lafayette, IN Metro Area",0.0558,0.0558,,,,,,,,,,,,,,
"Lake Charles, LA Metro Area",,,,,,,,,,,,,,,,
"Lake Havasu City-Kingman, AZ Metro Area",0.4644,1.6518,0.4644,,,,,,,,,,,,,
"Lakeland-Winter Haven, FL Metro Area",0.756,0.1823,0.2939,0.4544,0.5892,0.6861,0.756,,,,,,,,,0.3023
"Lancaster, PA Metro Area",0.3272,0.1969,0.3272,,,,,,,,,,,,,
"Lansing-East Lansing, MI Metro Area",0.0658,0.0658,,,,,,,,,,,,,,
"Laredo, TX Metro Area",0.588,0.588,,,,,,,,,,,,,,
