NAMELSAD,std_dev_all,std_dev_2,std_dev_3,std_dev_4,std_dev_5,std_dev_6,std_dev_7,std_dev_8,std_dev_9,std_dev_10,std_dev_11,std_dev_12,std_dev_13,std_dev_14,std_dev_15,avg_std_dev_2_to_4
"Hagerstown-Martinsburg, MD-WV Metro Area",1.0,,,,,,,,,,,,,,,
"Hammond, LA Metro Area",1.0,,,,,,,,,,,,,,,
"Harrisburg-Carlisle, PA Metro Area",0.30229928606858103,0.5088437310936332,0.31076486820072213,0.2871286047523799,0.30229928606858103,,,,,,,,,,,0.3689124013489118
"Harrisonburg, VA Metro Area",1.0,,,,,,,,,,,,,,,
"Hartford-East Hartford-Middletown, CT Metro Area",0.2211643804097725,0.1472064792300367,0.17346086683794404,0.2211643804097725,,,,,,,,,,,,0.1806105754925844
"Hattiesburg, MS Metro Area",1.0,,,,,,,,,,,,,,,
"Hickory-Lenoir-Morganton, NC Metro Area",1.0,,,,,,,,,,,,,,,
"Hinesville, GA Metro Area",1.0,,,,,,,,,,,,,,,
"Hot Springs, AR Metro Area",1.0,,,,,,,,,,,,,,,
"Houma-Thibodaux, LA Metro Area",1.0,,,,,,,,,,,,,,,
"Houston-The Woodlands-Sugar Land, TX Metro Area",0.3473920997552864,0.6324674020387326,0.25933043204414774,0.23509710347946133,0.25716777427935067,0.28045787719056037,0.30269463823711373,0.3250251465103309,0.3473920997552865,,,,,,,0.37563164585411385
"Huntington-Ashland, WV-KY-OH Metro Area",1.0,,,,,,,,,,,,,,,
"Huntsville, AL Metro Area",1.0,,,,,,,,,,,,,,,
"Idaho Falls, ID Metro Area",1.0,,,,,,,,,,,,,,,
"Indianapolis-Carmel-Anderson, IN Metro Area",0.43947982453686885,0.5500924726042047,0.39380094190130965,0.38786710805300406,0.35792244946927787,0.35587902819922845,0.36712063324854627,0.3805057000958534,0.3953703277192627,0.4109238728839246,0.4262788424207824,0.43947982453686896,,,,0.44392017418617274
"Iowa City, IA Metro Area",0.12208376790909592,0.12208376790909592,,,,,,,,,,,,,,
"Ithaca, NY Metro Area",0.21829749890302763,0.21829749890302763,,,,,,,,,,,,,,
"Jackson, MI Metro Area",1.0,,,,,,,,,,,,,,,
"Jackson, MS Metro Area",0.05563625343546552,0.05563625343546552,,,,,,,,,,,,,,
"Jackson, TN Metro Area",1.0,,,,,,,,,,,,,,,
"Jacksonville, FL Metro Area",0.32714900471600783,0.9787950852160127,0.42352992432731007,0.32714900471600783,,,,,,,,,,,,0.5764913380864436
"Jacksonville, NC Metro Area",0.161305114638448,0.161305114638448,,,,,,,,,,,,,,
"Janesville-Beloit, WI Metro Area",0.2813642643746138,0.3868594227680191,0.2813642643746137,,,,,,,,,,,,,
"Jefferson City, MO Metro Area",1.0,,,,,,,,,,,,,,,
"Johnson City, TN Metro Area",1.0,,,,,,,,,,,,,,,
"Johnstown, PA Metro Area",1.0,,,,,,,,,,,,,,,
"Jonesboro, AR Metro Area",1.0,,,,,,,,,,,,,,,
"Joplin, MO Metro Area",0.1178609554310115,0.1178609554310115,,,,,,,,,,,,,,
"Kalamazoo-Portage, MI Metro Area",1.0,,,,,,,,,,,,,,,
"Kankakee, IL Metro Area",1.0,,,,,,,,,,,,,,,
"Kansas City, MO-KS Metro Area",0.34512247586980593,0.3722732121297371,0.3829157156350482,0.3510915854125277,0.33670129082109723,0.34512247586980593,,,,,,,,,,0.36876017105910436
"Kennewick-Richland, WA Metro Area",0.2859775666486607,0.2859775666486607,,,,,,,,,,,,,,
"Killeen-Temple, TX Metro Area",0.13586740941310382,0.13586740941310382,,,,,,,,,,,,,,
"Kingsport-Bristol, TN-VA Metro Area",0.27809548516692906,0.6370647161710924,0.33283195245332475,0.27809548516692906,,,,,,,,,,,,0.41599738459711544
"Kingston, NY Metro Area",1.0,,,,,,,,,,,,,,,
"Knoxville, TN Metro Area",0.3818629684474314,0.3818629684474314,,,,,,,,,,,,,,
"Kokomo, IN Metro Area",1.0,,,,,,,,,,,,,,,
"La Crosse-Onalaska, WI-MN Metro Area",1.0,,,,,,,,,,,,,,,
"Lafayette, LA Metro Area",0.13269571254274037,0.12419864617589471,0.13269571254274037,,,,,,,,,,,,,
"Lafayette-West Lafayette, IN Metro Area",1.0,,,,,,,,,,,,,,,
"Lake Charles, LA Metro Area",1.0,,,,,,,,,,,,,,,
"Lakeland-Winter Haven, FL Metro Area",1.0,,,,,,,,,,,,,,,
"Lancaster, PA Metro Area",1.0,,,,,,,,,,,,,,,
"Lansing-East Lansing, MI Metro Area",0.03840030742204659,0.03840030742204659,,,,,,,,,,,,,,
"Laredo, TX Metro Area",1.0,,,,,,,,,,,,,,,
"Las Cruces, NM Metro Area",1.0,,,,,,,,,,,,,,,
"Las Vegas-Henderson-Paradise, NV Metro Area",0.35130955772069694,0.81663689850809,0.7672267530837615,0.7233182532559711,0.5259046890446424,0.43751729237553216,0.39018149897195586,0.3651455560337189,0.3541864408143818,0.35130955772069694,,,,,,0.7690606349492742
"Lawrence, KS Metro Area",1.0,,,,,,,,,,,,,,,
"Lawton, OK Metro Area",1.0,,,,,,,,,,,,,,,
"Lebanon, PA Metro Area",0.06762357222278381,0.06762357222278381,,,,,,,,,,,,,,
"Lewiston, ID-WA Metro Area",1.0,,,,,,,,,,,,,,,
"Lewiston-Auburn, ME Metro Area",1.0,,,,,,,,,,,,,,,
"Lexington-Fayette, KY Metro Area",0.2033128821370801,0.7508860759493671,0.2380055473300371,0.19574183903793718,0.2033128821370801,,,,,,,,,,,0.3948778207724471
"Lima, OH Metro Area",1.0,,,,,,,,,,,,,,,
"Lincoln, NE Metro Area",1.0,,,,,,,,,,,,,,,
"Little Rock-North Little Rock-Conway, AR Metro Area",0.44924779122559255,0.44924779122559255,,,,,,,,,,,,,,
"Logan, UT-ID Metro Area",1.0,,,,,,,,,,,,,,,
"Longview, TX Metro Area",1.0,,,,,,,,,,,,,,,
"Longview, WA Metro Area",1.0,,,,,,,,,,,,,,,
"Los Angeles-Long Beach-Anaheim, CA Metro Area",0.6146681965202567,0.30514144636408624,0.31106854107287785,0.34532881072642696,0.3592263322918272,0.38095682117020413,0.39908859469294655,0.418255128278164,0.43716910354957583,0.45522693691300575,0.4694016954109347,0.48299612527203106,0.4960497919890987,0.5083010094712478,0.5197596086651233,0.32051293272113035
"Louisville/Jefferson County, KY-IN Metro Area",0.2204658612350422,0.28124488124488123,0.19242673194111626,0.2204658612350422,,,,,,,,,,,,0.23137915814034657
"Lubbock, TX Metro Area",0.6994556765163298,0.6994556765163298,,,,,,,,,,,,,,
"Lynchburg, VA Metro Area",1.0,,,,,,,,,,,,,,,
"Macon-Bibb County, GA Metro Area",1.0,,,,,,,,,,,,,,,
"Madera, CA Metro Area",1.0,,,,,,,,,,,,,,,
"Madison, WI Metro Area",1.0,,,,,,,,,,,,,,,
"Manchester-Nashua, NH Metro Area",1.0,,,,,,,,,,,,,,,
"Manhattan, KS Metro Area",1.0,,,,,,,,,,,,,,,
"Mankato, MN Metro Area",1.0,,,,,,,,,,,,,,,
"Mansfield, OH Metro Area",1.0,,,,,,,,,,,,,,,
"McAllen-Edinburg-Mission, TX Metro Area",0.04474798185220741,0.04474798185220741,,,,,,,,,,,,,,
"Medford, OR Metro Area",0.7499864974345125,0.7499864974345125,,,,,,,,,,,,,,
"Memphis, TN-MS-AR Metro Area",0.17123300821619925,0.679836709384043,0.21175893477147534,0.17123300821619925,,,,,,,,,,,,0.3542762174572392
"Merced, CA Metro Area",0.46613958221317997,0.5949502937189336,0.46613958221317997,,,,,,,,,,,,,
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",0.45274073799758896,0.5995918644990137,0.43165339868257346,0.37869764871241307,0.3621454723625176,0.3528050672786437,0.3596547939123661,0.37270807905238934,0.38817570287467285,0.4016245173632256,0.4152864597437018,0.4279881356220936,0.4405186848322563,0.45274073799758896,,0.46998097063133343
"Michigan City-La Porte, IN Metro Area",1.0,,,,,,,,,,,,,,,
"Midland, MI Metro Area",1.0,,,,,,,,,,,,,,,
"Midland, TX Metro Area",1.0,,,,,,,,,,,,,,,
"Milwaukee-Waukesha, WI Metro Area",0.13861119301544222,0.9976136211288377,0.3537829285409799,0.13861119301544222,,,,,,,,,,,,0.4966692475617533
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",0.3107758786007765,0.22917959441208524,0.23050288032047228,0.2617120220437512,0.2818914704290254,0.3107758786007765,,,,,,,,,,0.24046483225876958
"Missoula, MT Metro Area",1.0,,,,,,,,,,,,,,,
"Mobile, AL Metro Area",0.15176777833738542,0.8993855606758833,0.15176777833738542,,,,,,,,,,,,,
"Modesto, CA Metro Area",0.5149511213341,0.5149511213341,,,,,,,,,,,,,,
"Monroe, LA Metro Area",0.8589783186114028,0.8589783186114028,,,,,,,,,,,,,,
"Monroe, MI Metro Area",1.0,,,,,,,,,,,,,,,
"Montgomery, AL Metro Area",1.0,,,,,,,,,,,,,,,
"Morgantown, WV Metro Area",1.0,,,,,,,,,,,,,,,
"Morristown, TN Metro Area",1.0,,,,,,,,,,,,,,,
"Mount Vernon-Anacortes, WA Metro Area",1.0,,,,,,,,,,,,,,,
"Muncie, IN Metro Area",1.0,,,,,,,,,,,,,,,
"Muskegon, MI Metro Area",1.0,,,,,,,,,,,,,,,
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",0.11489914279406788,0.074116854365194,0.11489914279406788,,,,,,,,,,,,,
"Napa, CA Metro Area",0.08856978334413013,0.08856978334413013,,,,,,,,,,,,,,
"Naples-Marco Island, FL Metro Area",0.21803767337373037,0.22539113979657355,0.21803767337373037,,,,,,,,,,,,,
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",0.18383315621084406,0.7979735593273343,0.3497919673304277,0.2012210644598279,0.18383315621084406,,,,,,,,,,,0.4496621970391967
"New Bern, NC Metro Area",1.0,,,,,,,,,,,,,,,
"New Haven-Milford, CT Metro Area",0.18118020695654324,0.28762710263701896,0.18118020695654324,,,,,,,,,,,,,
"New Orleans-Metairie, LA Metro Area",0.2357297777423787,0.2392117303008997,0.2357297777423787,,,,,,,,,,,,,
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",0.605796916492462,0.3334559073464065,0.3058453011240526,0.3347077768545643,0.33573640413085903,0.3522630023581159,0.3721736868128598,0.3904731951044008,0.4088381579763636,0.42679296765720487,0.443981697503942,0.4600966184397267,0.47448222981131494,0.487872836004132,0.5004630555711171,0.32466966177500783
"Niles, MI Metro Area",0.16088525045095048,0.16088525045095048,,,,,,,,,,,,,,
"North Port-Sarasota-Bradenton, FL Metro Area",0.17574126579845262,0.17574126579845262,,,,,,,,,,,,,,
"Norwich-New London, CT Metro Area",1.0,,,,,,,,,,,,,,,
"Ocala, FL Metro Area",1.0,,,,,,,,,,,,,,,
"Odessa, TX Metro Area",1.0,,,,,,,,,,,,,,,
"Ogden-Clearfield, UT Metro Area",0.31085089738411464,0.15939522261652705,0.20721705162007276,0.2638295884569555,0.31085089738411464,,,,,,,,,,,0.21014728756451842
"Oklahoma City, OK Metro Area",0.18739379440301585,0.7140671150492865,0.22432254116921235,0.17412686747636574,0.18739379440301585,,,,,,,,,,,0.37083884123162153
"Olympia-Lacey-Tumwater, WA Metro Area",1.0,,,,,,,,,,,,,,,
"Omaha-Council Bluffs, NE-IA Metro Area",0.028613368735766143,0.028613368735766143,,,,,,,,,,,,,,
"Orlando-Kissimmee-Sanford, FL Metro Area",0.2601567421748513,0.7436141199969271,0.7474291816547644,0.37666916391892613,0.2601567421748513,,,,,,,,,,,0.6225708218568725
"Oshkosh-Neenah, WI Metro Area",1.0,,,,,,,,,,,,,,,
"Owensboro, KY Metro Area",1.0,,,,,,,,,,,,,,,
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",1.0,,,,,,,,,,,,,,,
"Palm Bay-Melbourne-Titusville, FL Metro Area",0.3123207374551811,0.411522633744856,0.3123207374551811,,,,,,,,,,,,,
"Parkersburg-Vienna, WV Metro Area",1.0,,,,,,,,,,,,,,,
