NAMELSAD,std_dev_all,std_dev_2,std_dev_3,std_dev_4,std_dev_5,std_dev_6,std_dev_7,std_dev_8,std_dev_9,std_dev_10,std_dev_11,std_dev_12,std_dev_13,std_dev_14,std_dev_15,avg_std_dev_2_to_4
"Little Rock-North Little Rock-Conway, AR Metro Area",0.817,0.817,,,,,,,,,,,,,,
"Logan, UT-ID Metro Area",,,,,,,,,,,,,,,,
"Longview, TX Metro Area",,,,,,,,,,,,,,,,
"Longview, WA Metro Area",,,,,,,,,,,,,,,,
"Los Angeles-Long Beach-Anaheim, CA Metro Area",1.0088,0.5896,0.7298,0.8621,0.8688,0.8861,0.9072,0.9274,0.9444,0.959,0.9655,0.9711,0.9756,0.9795,0.9833,0.7188
"Louisville/Jefferson County, KY-IN Metro Area",0.5205,0.5036,0.4247,0.5205,,,,,,,,,,,,0.4835
"Lubbock, TX Metro Area",1.3989,1.3989,,,,,,,,,,,,,,
"Lynchburg, VA Metro Area",,,,,,,,,,,,,,,,
"Macon-Bibb County, GA Metro Area",,,,,,,,,,,,,,,,
"Madera, CA Metro Area",,,,,,,,,,,,,,,,
"Madison, WI Metro Area",,,,,,,,,,,,,,,,
"Manchester-Nashua, NH Metro Area",,,,,,,,,,,,,,,,
"Manhattan, KS Metro Area",,,,,,,,,,,,,,,,
"Mankato, MN Metro Area",,,,,,,,,,,,,,,,
"Mansfield, OH Metro Area",,,,,,,,,,,,,,,,
"McAllen-Edinburg-Mission, TX Metro Area",0.0921,0.0921,,,,,,,,,,,,,,
"Medford, OR Metro Area",1.1026,1.1026,,,,,,,,,,,,,,
"Memphis, TN-MS-AR Metro Area",0.4095,1.3597,0.4886,0.4095,,,,,,,,,,,,0.7864
"Merced, CA Metro Area",1.0755,1.1899,1.0755,,,,,,,,,,,,,
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",0.8704,1.1992,0.9959,0.9057,0.8628,0.8192,0.8115,0.8132,0.8211,0.8319,0.8433,0.8526,0.8617,0.8704,,1.0432
"Michigan City-La Porte, IN Metro Area",,,,,,,,,,,,,,,,
"Midland, MI Metro Area",,,,,,,,,,,,,,,,
"Midland, TX Metro Area",,,,,,,,,,,,,,,,
"Milwaukee-Waukesha, WI Metro Area",0.7239,1.9554,0.7239,,,,,,,,,,,,,
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",0.7263,0.4584,0.5318,0.6259,0.6716,0.7263,,,,,,,,,,0.5337
"Missoula, MT Metro Area",,,,,,,,,,,,,,,,
"Mobile, AL Metro Area",0.7157,1.138,0.9625,0.7157,,,,,,,,,,,,0.9511
"Modesto, CA Metro Area",0.8231,1.0299,0.8231,,,,,,,,,,,,,
