NAMELSAD,beta_all,beta_top_2,beta_top_3,beta_top_4,beta_top_5,beta_top_6,beta_top_7,beta_top_8,beta_top_9,beta_top_10,beta_top_11,beta_top_12,beta_top_13,beta_top_14,beta_top_15,avg_beta_2_to_4
"Louisville/Jefferson County, KY-IN Metro Area",-0.5498941120417564,-0.2758662704563432,-0.41010653105925743,-0.5498941120417562,,,,,,,,,,,,-0.41195563785245226
"Lubbock, TX Metro Area",-0.7543478441063614,-0.6427786327053175,-0.7543478441063611,,,,,,,,,,,,,
"Lynchburg, VA Metro Area",,,,,,,,,,,,,,,,
"Macon-Bibb County, GA Metro Area",,,,,,,,,,,,,,,,
"Madera, CA Metro Area",,,,,,,,,,,,,,,,
"Madison, WI Metro Area",,,,,,,,,,,,,,,,
"Manchester-Nashua, NH Metro Area",,,,,,,,,,,,,,,,
"Manhattan, KS Metro Area",,,,,,,,,,,,,,,,
"Mankato, MN Metro Area",,,,,,,,,,,,,,,,
"Mansfield, OH Metro Area",-0.49834119252544395,-0.49834119252544395,,,,,,,,,,,,,,
"McAllen-Edinburg-Mission, TX Metro Area",-0.2852353258830541,-0.2852353258830541,,,,,,,,,,,,,,
"Medford, OR Metro Area",,,,,,,,,,,,,,,,
"Memphis, TN-MS-AR Metro Area",-0.39498516966128805,-0.2700599169745037,-0.3949851696612881,,,,,,,,,,,,,
"Merced, CA Metro Area",-1.0845817340776525,-0.8148640557986779,-1.0845817340776516,,,,,,,,,,,,,
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",-6.233290714982518,-1.2657437753198133,-1.6745118829523753,-1.7125945861511072,-1.8552031586236994,-2.1155847427872914,-2.3553889941449855,-2.5365383994439727,-2.640852899420331,-2.776111164847493,-2.9262411121906684,-3.098450966255455,-3.287129025399578,-3.484411209580984,-3.6833427280027227,-1.550950081474432
"Michigan City-La Porte, IN Metro Area",-0.3997146284592815,-0.39971462845928163,,,,,,,,,,,,,,
"Midland, MI Metro Area",,,,,,,,,,,,,,,,
"Midland, TX Metro Area",,,,,,,,,,,,,,,,
"Milwaukee-Waukesha, WI Metro Area",-3.4500323377018995,-4.229524807137068,-3.4500323377019075,,,,,,,,,,,,,
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",-0.5691219704460682,-0.22567121164665563,-0.33620755240355643,-0.45208832839493,-0.5691219704460693,,,,,,,,,,,-0.33798903081504733
"Missoula, MT Metro Area",,,,,,,,,,,,,,,,
"Mobile, AL Metro Area",-0.22583772643941566,-0.22583772643941566,,,,,,,,,,,,,,
"Modesto, CA Metro Area",-1.1429028098932408,-2.3552580164586265,-2.1937290214967113,-1.1429028098932408,,,,,,,,,,,,-1.8972966159495261
"Monroe, LA Metro Area",-0.6411954013723956,-0.4491224426532996,-0.6411954013723956,,,,,,,,,,,,,
"Monroe, MI Metro Area",,,,,,,,,,,,,,,,
"Montgomery, AL Metro Area",,,,,,,,,,,,,,,,
"Morgantown, WV Metro Area",,,,,,,,,,,,,,,,
"Morristown, TN Metro Area",,,,,,,,,,,,,,,,
"Mount Vernon-Anacortes, WA Metro Area",,,,,,,,,,,,,,,,
"Muncie, IN Metro Area",,,,,,,,,,,,,,,,
"Muskegon, MI Metro Area",,,,,,,,,,,,,,,,
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",-1.235964036668577,-0.43537710859683,-0.6428871451400571,-0.8504143029444604,-1.0491791252527254,-1.2359640366685767,,,,,,,,,,-0.6428928522271158
"Napa, CA Metro Area",,,,,,,,,,,,,,,,
"Naples-Marco Island, FL Metro Area",-0.8002227609612662,-0.5800023130467616,-0.8002227609612668,,,,,,,,,,,,,
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",-1.5221989592998248,-4.5249719169361855,-1.7086277984709175,-1.6349869884849257,-1.5015856663560914,-1.3537467755818637,-1.428627832749757,-1.5221989592998262,,,,,,,,-2.6228622346306762
"New Bern, NC Metro Area",,,,,,,,,,,,,,,,
"New Haven-Milford, CT Metro Area",-0.7080440581104193,-0.8268539515958445,-0.5839168912717962,-0.7080440581104191,,,,,,,,,,,,-0.7062716336593534
