NAMELSAD,std_dev_all,std_dev_2,std_dev_3,std_dev_4,std_dev_5,std_dev_6,std_dev_7,std_dev_8,std_dev_9,std_dev_10,std_dev_11,std_dev_12,std_dev_13,std_dev_14,std_dev_15,avg_std_dev_2_to_4,count_centers_x,count_centers_y
"Las Vegas-Henderson-Paradise, NV Metro Area",0.7764,1.7844,1.9038,1.8283,1.2693,1.0313,0.9162,0.8505,0.8191,0.8037,0.798,0.7932,0.7859,0.7819,0.7778,1.8363,16,16
"Lawrence, KS Metro Area",,,,,,,,,,,,,,,,,1,1
"Lawton, OK Metro Area",,,,,,,,,,,,,,,,,1,1
"Lebanon, PA Metro Area",0.1352,0.1352,,,,,,,,,,,,,,,2,2
"Lewiston, ID-WA Metro Area",,,,,,,,,,,,,,,,,1,1
"Lewiston-Auburn, ME Metro Area",,,,,,,,,,,,,,,,,1,1
"Lexington-Fayette, KY Metro Area",0.5126,1.555,0.541,0.4538,0.4677,0.5126,,,,,,,,,,0.8891,6,6
"Lima, OH Metro Area",,,,,,,,,,,,,,,,,1,1
"Lincoln, NE Metro Area",0.0673,0.0673,,,,,,,,,,,,,,,2,2
"Little Rock-North Little Rock-Conway, AR Metro Area",0.658,0.8932,0.6694,0.6348,0.658,,,,,,,,,,,0.7415,5,5
"Logan, UT-ID Metro Area",,,,,,,,,,,,,,,,,1,1
"Longview, TX Metro Area",,,,,,,,,,,,,,,,,1,1
"Longview, WA Metro Area",,,,,,,,,,,,,,,,,1,1
"Los Angeles-Long Beach-Anaheim, CA Metro Area",1.0263,0.6058,0.7355,0.8639,0.8766,0.902,0.9181,0.9351,0.9501,0.9632,0.9717,0.9778,0.9832,0.9882,0.9927,0.7272,70,70
"Louisville/Jefferson County, KY-IN Metro Area",0.9464,0.5625,0.4688,0.5538,0.6478,0.7278,0.7912,0.8401,0.8781,0.9071,0.9297,0.9464,,,,0.5297,12,12
"Lubbock, TX Metro Area",1.1712,1.3989,1.1569,1.1712,,,,,,,,,,,,1.2508,4,4
"Lynchburg, VA Metro Area",,,,,,,,,,,,,,,,,1,1
"Macon-Bibb County, GA Metro Area",,,,,,,,,,,,,,,,,1,1
"Madera, CA Metro Area",,,,,,,,,,,,,,,,,1,1
"Madison, WI Metro Area",,,,,,,,,,,,,,,,,1,1
"Manchester-Nashua, NH Metro Area",0.1317,0.1317,,,,,,,,,,,,,,,2,2
"Manhattan, KS Metro Area",,,,,,,,,,,,,,,,,1,1
"Mankato, MN Metro Area",,,,,,,,,,,,,,,,,1,1
"Mansfield, OH Metro Area",,,,,,,,,,,,,,,,,1,1
"McAllen-Edinburg-Mission, TX Metro Area",0.1946,0.0895,0.1946,,,,,,,,,,,,,,3,3
"Medford, OR Metro Area",1.1026,1.1026,,,,,,,,,,,,,,,2,2
"Memphis, TN-MS-AR Metro Area",0.742,1.3753,0.5419,0.4783,0.5209,0.5753,0.6295,0.6774,0.7151,0.742,,,,,,0.8305,10,10
"Merced, CA Metro Area",1.0224,1.1899,1.0755,1.0218,1.0224,,,,,,,,,,,1.1012,5,5
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",0.9641,1.1617,0.9749,0.8948,0.8908,0.8918,0.9037,0.894,0.8951,0.8998,0.906,0.913,0.92,0.9267,0.9327,1.0192,27,27
"Michigan City-La Porte, IN Metro Area",,,,,,,,,,,,,,,,,1,1
"Midland, MI Metro Area",,,,,,,,,,,,,,,,,1,1
"Midland, TX Metro Area",,,,,,,,,,,,,,,,,1,1
"Milwaukee-Waukesha, WI Metro Area",0.4347,1.9554,0.7239,0.3936,0.3375,0.3566,0.3939,0.4347,,,,,,,,1.0773,8,8
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",0.8887,0.4947,0.5481,0.6556,0.6987,0.7519,0.7984,0.8351,0.865,0.8887,,,,,,0.5616,10,10
"Missoula, MT Metro Area",,,,,,,,,,,,,,,,,1,1
